"filename", "language", "YAML", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "Rust", "Docker", "MS SQL", "PostCSS", "TypeScript JSX", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\znnn\my_code\wfchat\README.md", "Markdown", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 173
"c:\Users\znnn\my_code\wfchat\apps\api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 8, 23
"c:\Users\znnn\my_code\wfchat\apps\api\db\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 14, 110
"c:\Users\znnn\my_code\wfchat\apps\api\src\admin.rs", "Rust", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\anthropic.rs", "Rust", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\lmstudio.rs", "Rust", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\mock.rs", "Rust", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\openai.rs", "Rust", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 24, 161
"c:\Users\znnn\my_code\wfchat\apps\api\src\ai\providers\xai.rs", "Rust", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\znnn\my_code\wfchat\apps\api\src\app.rs", "Rust", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\znnn\my_code\wfchat\apps\api\src\auth.rs", "Rust", 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 31, 311
"c:\Users\znnn\my_code\wfchat\apps\api\src\characters.rs", "Rust", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 21, 156
"c:\Users\znnn\my_code\wfchat\apps\api\src\chat.rs", "Rust", 0, 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 35, 319
"c:\Users\znnn\my_code\wfchat\apps\api\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 17, 164
"c:\Users\znnn\my_code\wfchat\apps\api\src\error.rs", "Rust", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\znnn\my_code\wfchat\apps\api\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\znnn\my_code\wfchat\apps\api\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\znnn\my_code\wfchat\apps\api\src\memory.rs", "Rust", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 21, 282
"c:\Users\znnn\my_code\wfchat\apps\api\src\state.rs", "Rust", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\znnn\my_code\wfchat\apps\api\src\store.rs", "Rust", 0, 0, 0, 0, 0, 0, 1385, 0, 0, 0, 0, 0, 0, 0, 118, 1503
"c:\Users\znnn\my_code\wfchat\apps\api\src\sync.rs", "Rust", 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 34, 288
"c:\Users\znnn\my_code\wfchat\apps\web\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\znnn\my_code\wfchat\apps\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\znnn\my_code\wfchat\apps\web\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\znnn\my_code\wfchat\apps\web\package-lock.json", "JSON", 0, 0, 0, 4177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4178
"c:\Users\znnn\my_code\wfchat\apps\web\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\znnn\my_code\wfchat\apps\web\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 20, 267
"c:\Users\znnn\my_code\wfchat\apps\web\src\app\AppSettingsProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 12, 72
